Accession,Release_Date,Species,Length,Geo_Location,U.S._State,Host,Isolation_Source,Collection_Date
MT772403,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT772404,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Kane county",IL,Homo sapiens,oronasopharynx,6/26/2020
MT772405,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29779,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772406,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Massachusetts, Middlesex county",MA,Homo sapiens,oronasopharynx,6/27/2020
MT772407,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772408,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772409,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772410,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Massachusetts, Norfolk county",MA,Homo sapiens,oronasopharynx,6/27/2020
MT772411,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772412,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772413,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772414,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772415,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT772416,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,6/28/2020
MT772417,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772418,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Westchester county",NY,Homo sapiens,oronasopharynx,6/28/2020
MT772419,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT772420,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT772421,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772422,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772423,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772424,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772425,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772426,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772427,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772428,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New York, Rockland county",NY,Homo sapiens,oronasopharynx,6/26/2020
MT772429,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: New Jersey, Essex county",NJ,Homo sapiens,oronasopharynx,6/28/2020
MT772430,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772431,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: California, Santa Clara county",CA,Homo sapiens,oronasopharynx,6/26/2020
MT772432,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Arizona, Maricopa county",AZ,Homo sapiens,oronasopharynx,6/27/2020
MT772433,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772434,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772435,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772436,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772437,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772438,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772439,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Iowa, Jackson county",IA,Homo sapiens,oronasopharynx,6/27/2020
MT772440,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772441,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772442,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,6/27/2020
MT772443,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772444,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772445,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Waukesha county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772446,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772447,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,6/26/2020
MT772448,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Florida, Miami-dade county",FL,Homo sapiens,oronasopharynx,6/28/2020
MT772449,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Minnesota, Stearns county",MN,Homo sapiens,oronasopharynx,6/26/2020
MT772450,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Massachusetts, Norfolk county",MA,Homo sapiens,oronasopharynx,6/26/2020
MT772451,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT772452,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772453,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772454,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772455,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772456,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772457,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT772458,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772459,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772460,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Sauk county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772461,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT772462,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/25/2020
MT772463,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Cook county",IL,Homo sapiens,oronasopharynx,6/26/2020
MT772464,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT772465,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772466,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/28/2020
MT772467,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Lake county",IL,Homo sapiens,oronasopharynx,6/28/2020
MT772468,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/26/2020
MT772469,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/27/2020
MT772470,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: California, Los Angeles county",CA,Homo sapiens,oronasopharynx,6/27/2020
MT772471,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772472,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/1/2020
MT772473,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772474,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772475,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772476,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772477,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772478,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772479,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Outagamie county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772480,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772481,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772482,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772483,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Dupage county",IL,Homo sapiens,oronasopharynx,6/29/2020
MT772484,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772485,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772486,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: California, San Diego county",CA,Homo sapiens,oronasopharynx,6/30/2020
MT772487,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772488,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Columbia county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772489,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772490,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772491,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772492,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772493,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29611,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772494,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772495,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772496,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772497,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772498,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772499,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772500,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/1/2020
MT772501,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772502,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772503,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772504,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772505,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/1/2020
MT772506,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/1/2020
MT772507,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772508,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772509,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29765,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772510,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Colorado, Denver county",CO,Homo sapiens,oronasopharynx,6/29/2020
MT772511,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772512,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Florida, Palm Beach county",FL,Homo sapiens,oronasopharynx,6/30/2020
MT772513,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29773,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772514,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772515,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/29/2020
MT772516,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/1/2020
MT772517,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772518,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,7/2/2020
MT772519,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,6/30/2020
MT772520,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772521,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772522,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772523,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Lafayette county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772524,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Columbia county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772525,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772526,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Jefferson county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772527,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,5/20/2020
MT772528,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/21/2020
MT772529,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/21/2020
MT772530,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,5/22/2020
MT772531,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,5/21/2020
MT772532,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Rock county",WI,Homo sapiens,oronasopharynx,5/22/2020
MT772533,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/22/2020
MT772534,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,5/22/2020
MT772535,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/22/2020
MT772536,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Illinois, Winnebago county",IL,Homo sapiens,oronasopharynx,5/23/2020
MT772537,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/21/2020
MT772538,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/18/2020
MT772539,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/21/2020
MT772540,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/26/2020
MT772541,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Green county",WI,Homo sapiens,oronasopharynx,5/20/2020
MT772542,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/26/2020
MT772543,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/14/2020
MT772544,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Dane county",WI,Homo sapiens,oronasopharynx,5/9/2020
MT772545,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,3/14/2020
MT772546,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,3/15/2020
MT772547,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,3/15/2020
MT772548,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,3/16/2020
MT772549,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,3/16/2020
MT772550,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,3/17/2020
MT772551,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,3/17/2020
MT772552,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Ozaukee county",WI,Homo sapiens,oronasopharynx,3/17/2020
MT772553,2020-07-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,"USA: Wisconsin, Milwaukee county",WI,Homo sapiens,oronasopharynx,3/19/2020
